1530615600000
step: 362, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.3609153746
step: 362, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 48.2124375785
step: 363, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 29.0507750233
step: 363, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.3609153746
step: 363, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 48.2859041501
step: 364, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 29.142071549
step: 364, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.3609153746
step: 364, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 48.376962924
step: 365, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 29.2077093897
step: 365, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.3609153746
step: 365, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 48.4424303701
step: 366, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 29.2866313693
step: 366, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.3609153746
step: 366, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 48.5211480623
step: 367, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 29.3776096122
step: 367, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.3609153746
step: 367, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 48.6118916097
step: 368, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 29.4461843206
step: 368, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.3609153746
step: 368, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 48.6802899799
step: 369, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 29.5308563965
step: 369, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.3609153746
